iter	RMSE
0	0.3911859519
1	0.3835766914
2	0.3759841642
3	0.3685674617
4	0.3619757451
5	0.3553057693
6	0.3484287087
7	0.3420433737
8	0.335745428
9	0.329776849
10	0.3241148583
11	0.3178757392
12	0.3120189554
13	0.306595041
14	0.3013425812
15	0.2962003728
16	0.2910304685
17	0.2862431484
18	0.281634351
19	0.2769069199
20	0.2725178213
21	0.2678985613
22	0.2638184343
23	0.2600076087
24	0.255809513
25	0.2519264735
26	0.2483646328
27	0.2446388491
28	0.2409594944
29	0.2373454172
30	0.2340658395
31	0.2307248746
32	0.2275160657
33	0.2244482159
34	0.2213350529
35	0.2186094811
36	0.2157083504
37	0.2129051125
38	0.2103419707
39	0.2078280013
40	0.205155387
41	0.2028977886
42	0.2003916009
43	0.1980311131
44	0.1959668157
45	0.1936686032
46	0.1913406394
47	0.1893530122
48	0.1871434885
49	0.1852229925
50	0.1833017881
51	0.1813258073
52	0.1793520655
53	0.1777412556
54	0.1761691836
55	0.1746330104
56	0.1729796791
57	0.1714561474
58	0.170034616
59	0.1686473378
60	0.1671606334
61	0.1658279784
62	0.1646018784
63	0.1631320577
64	0.1618543325
65	0.160821337
66	0.1595430457
67	0.1584368704
68	0.157329808
69	0.1561346293
70	0.1549420027
71	0.1538793466
72	0.1528565298
73	0.1519522464
74	0.1509884998
75	0.1500334788
76	0.1489543189
77	0.147915176
78	0.1468497897
79	0.1460523185
80	0.1450871847
81	0.1443143634
82	0.1436078698
83	0.1429142345
84	0.1421193349
85	0.1413647555
86	0.1407053556
87	0.1399758303
88	0.1393774376
89	0.1386876294
90	0.1380091363
91	0.1373217848
92	0.1366470189
93	0.1358384064
94	0.1352179366
95	0.1345929626
96	0.1339709111
97	0.1333444837
98	0.1327876723
99	0.1323309113
100	0.1318358424
101	0.1311972659
102	0.1306284082
103	0.130032578
104	0.1295179554
105	0.1290788544
106	0.1286922683
107	0.1281261006
108	0.1276511067
109	0.1271986735
110	0.1267288334
111	0.1261630536
112	0.1257857888
113	0.1254776152
114	0.1251082858
115	0.1246902207
116	0.1242756516
117	0.1238673121
118	0.1234187479
119	0.1230391336
120	0.1226901347
121	0.1222641871
122	0.121920838
123	0.1215859072
124	0.121265596
125	0.1209623819
126	0.1206306698
127	0.1202269885
128	0.1199829204
129	0.119641154
130	0.1192895065
131	0.118886342
132	0.1184977777
133	0.1181809984
134	0.1178637059
135	0.1175325426
136	0.1172634217
137	0.1169366249
138	0.1167124065
139	0.1164692143
140	0.1161363713
141	0.1158167162
142	0.115551602
143	0.1151948088
144	0.1149032637
145	0.1146207907
146	0.1143226114
147	0.1140659641
148	0.1138791421
149	0.1135974541
150	0.1133595358
151	0.1131774871
152	0.1129445613
153	0.1126546165
154	0.1124108174
155	0.1121702622
156	0.1118799392
157	0.1116238055
158	0.1113217435
159	0.1110699986
160	0.110834089
161	0.1106240721
162	0.1103547409
163	0.1101221456
164	0.1099484589
165	0.1097585923
166	0.1095722211
167	0.1094031356
168	0.1091450282
169	0.1089506192
170	0.1086578976
171	0.1084387698
172	0.108253026
173	0.1080445606
174	0.1078100495
175	0.1075951948
176	0.107374031
177	0.1072256562
178	0.1070455419
179	0.1068968074
180	0.1067374079
181	0.1065632113
182	0.1063385973
183	0.1061336517
184	0.1059655058
185	0.105755605
186	0.1056265781
187	0.1054692166
188	0.1052397984
189	0.105111144
190	0.1049120862
191	0.1047072508
192	0.1044941481
193	0.1043543295
194	0.1041547556
195	0.1040385352
196	0.1038387842
197	0.1036900313
198	0.1035302093
199	0.1034127288
200	0.1032809549
201	0.1030735753
202	0.1029109121
203	0.1027849099
204	0.1026498102
205	0.1025300914
206	0.1023635925
207	0.1021751334
208	0.1020085381
209	0.1018423183
210	0.101698693
211	0.1016196593
212	0.1014411477
213	0.1012484994
214	0.1010850654
215	0.1009178241
216	0.1007988116
217	0.1007451757
218	0.1006084476
219	0.1004341551
220	0.1002797619
221	0.1001243468
222	0.1000289413
223	0.09986081566
224	0.09972507025
225	0.09960237996
226	0.099433748
227	0.09926519413
228	0.09910309251
229	0.09891192232
230	0.09879140021
231	0.09859809162
232	0.09846800094
233	0.09828969799
234	0.09818297102
235	0.09808238317
236	0.09787321887
237	0.09774296516
238	0.09760479853
239	0.097453681
240	0.09733643547
241	0.09722318487
242	0.09709015856
243	0.09696402953
244	0.09679840385
245	0.09664332235
246	0.09649604262
247	0.09636254131
248	0.09623541682
249	0.09610282165
250	0.09600641756
251	0.09588670471
252	0.09576392581
253	0.09567376349
254	0.0955246285
255	0.09538214358
256	0.09526298434
257	0.09513938224
258	0.09497104511
259	0.0948574388
260	0.09474628012
261	0.09458827655
262	0.09445665558
263	0.09434381358
264	0.09430573104
265	0.09418089803
266	0.09402591332
267	0.09392522473
268	0.09380929111
269	0.09368668784
270	0.09351789783
271	0.09342987091
272	0.09323322406
273	0.09310865116
274	0.09300148591
275	0.09292968989
276	0.09283121126
277	0.09274315727
278	0.09262975342
279	0.09253218648
280	0.09245769292
281	0.09232461604
282	0.09220533154
283	0.09209658555
284	0.09201274896
285	0.09182714461
286	0.09174173552
287	0.09163861474
288	0.09151478772
289	0.09144203549
290	0.09138851545
291	0.09130830708
292	0.09118855318
293	0.09111416467
294	0.09099433162
295	0.09085897717
296	0.09071081161
297	0.09064886043
298	0.0905587996
299	0.09043042992
300	0.0903101071
301	0.09017745638
302	0.09007707239
303	0.08994249091
304	0.08980841912
305	0.08977207966
306	0.08968726744
307	0.08955655881
308	0.08942148203
309	0.08937471449
310	0.08927377259
311	0.08916223654
312	0.08910305529
313	0.08896958258
314	0.08884729202
315	0.08876186025
316	0.08866684484
317	0.08856551036
318	0.08843662541
319	0.0883426026
320	0.08823083393
321	0.08815648713
322	0.08804973619
