iter	Passed	Remaining
0	7	7565
1	14	7244
2	21	7241
3	27	6837
4	34	6820
5	40	6775
6	46	6651
7	53	6635
8	60	6640
9	66	6610
10	73	6595
11	79	6568
12	86	6532
13	92	6544
14	99	6518
15	105	6512
16	112	6519
17	119	6511
18	126	6519
19	132	6515
20	139	6520
21	146	6515
22	153	6515
23	160	6512
24	166	6504
25	173	6492
26	179	6455
27	185	6451
28	192	6455
29	199	6453
30	206	6456
31	212	6430
32	219	6431
33	225	6393
34	231	6391
35	237	6367
36	244	6357
37	250	6352
38	257	6347
39	264	6348
40	271	6354
41	277	6329
42	283	6300
43	288	6278
44	295	6265
45	301	6255
46	308	6248
47	314	6236
48	320	6227
49	327	6223
50	334	6217
51	340	6212
52	347	6214
53	354	6205
54	360	6197
55	367	6186
56	373	6174
57	380	6172
58	386	6163
59	392	6155
60	399	6144
61	405	6141
62	411	6125
63	418	6121
64	425	6121
65	431	6112
66	438	6105
67	445	6099
68	451	6092
69	457	6072
70	463	6067
71	470	6059
72	476	6048
73	482	6040
74	490	6045
75	496	6041
76	503	6030
77	509	6022
78	516	6019
79	523	6015
80	530	6014
81	537	6014
82	543	6008
83	550	6005
84	557	6005
85	563	5993
86	570	5990
87	577	5984
88	583	5972
89	590	5966
90	596	5960
91	603	5952
92	609	5945
93	615	5931
94	622	5926
95	628	5918
96	634	5909
97	641	5904
98	647	5890
99	653	5885
100	660	5880
101	666	5870
102	673	5863
103	679	5854
104	685	5846
105	692	5842
106	699	5838
107	706	5831
108	712	5824
109	719	5818
110	725	5813
111	732	5806
112	739	5801
113	745	5790
114	751	5783
115	757	5775
116	764	5769
117	770	5761
118	776	5751
119	783	5743
120	789	5731
121	795	5725
122	802	5719
123	808	5713
124	815	5709
125	822	5702
126	828	5697
127	834	5686
128	841	5682
129	848	5677
130	854	5671
131	861	5662
132	867	5652
133	873	5645
134	880	5638
135	886	5632
136	893	5626
137	899	5619
138	906	5612
139	913	5609
140	919	5602
141	925	5592
142	932	5586
143	938	5581
144	945	5574
145	952	5568
146	957	5558
147	964	5553
148	970	5544
149	977	5540
150	984	5533
151	990	5525
152	996	5518
153	1003	5515
154	1010	5508
155	1017	5505
156	1024	5498
157	1030	5493
158	1037	5488
159	1044	5481
160	1050	5471
161	1055	5460
162	1062	5453
163	1067	5443
164	1074	5437
165	1081	5432
166	1088	5427
167	1094	5422
168	1101	5416
169	1108	5409
170	1114	5403
171	1121	5396
172	1127	5391
173	1134	5385
174	1141	5380
175	1147	5370
176	1153	5365
177	1160	5359
178	1167	5353
179	1173	5346
180	1180	5339
181	1187	5335
182	1193	5326
183	1199	5320
184	1205	5312
185	1212	5304
186	1218	5296
187	1225	5293
188	1232	5288
189	1239	5283
190	1245	5276
191	1253	5273
